1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
U1:RADAR_POS_X,U2:RADAR_POS_Y,U3:RADAR_POS_Z,U4:TARGET_POS_X,U5:TARGET_POS_Y,U6:TARGET_POS_Z,U7:CMD_SPEED_X,U8:CMD_SPEED_Y,U9:CMD_SPEED_Z,U10:QW,U11:QX,U12:QY,U13:QZ,FC_SEN_SPD_X,FC_SEN_SPD_Y,FC_SEN_SPD_Z,FC_CTRL_SPD_X,FC_CTRL_SPD_Y,U16:Nouse1,U17:Tick,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,1,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,1,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,1,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,1,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.017,-0.0037,-0.0148,0.9997,0,0,-32768,0,0,0,0,
0,0,0,0,0,0,0,0,0,0.0176,-0.0032,-0.0145,0.9997,0,0,-32768,0,0,0,0,
