T_REL,T_ABS,RADAR_POS_X,RADAR_POS_Y,RADAR_POS_Z,TARGET_POS_X,TARGET_POS_Y,TARGET_POS_Z,CMD_SPEED_X,CMD_SPEED_Y,CMD_SPEED_Z,ERROR_X,ERROR_Y,ERROR_Z,qx,qy,qz,qw,fc_sen_vel_x,fc_sen_vel_y,rt_tar_vel_x,rt_tar_vel_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0018,-0.0019,0.0003,-1,0,0,0,0
1201.081,1201.081,-2,0,3,0,0,80,0,0,20,2,0,77,-0.0018,-0.0019,0.0003,-1,0,0,0,0
1201.121,1201.121,0,1,3,0,0,80,0,0,20,0,-1,77,-0.0019,-0.0016,0.0004,-1,0,-1,0,0
1201.221,1201.221,0,1,4,0,0,80,0,0,20,0,-1,76,-0.002,-0.0018,0.0004,-1,0,0,0,0
1201.331,1201.331,0,1,4,0,0,80,0,0,20,0,-1,76,-0.0019,-0.0019,0.0002,-1,0,0,0,0
1201.431,1201.431,0,1,4,0,0,80,0,0,20,0,-1,76,-0.0018,-0.0017,0.0004,-1,0,0,0,0
1201.531,1201.531,0,1,3,0,0,80,0,0,20,0,-1,77,-0.0019,-0.0016,0.0002,-1,0,0,0,0
1201.631,1201.631,0,1,4,0,0,80,0,0,20,0,-1,76,-0.0021,-0.0019,0.0002,-1,0,0,0,0
1201.731,1201.731,0,1,4,0,0,80,0,0,20,0,-1,76,-0.0019,-0.0018,-0.0001,-1,0,0,0,0
1201.831,1201.831,0,1,4,0,0,80,0,0,20,0,-1,76,-0.0016,-0.0018,0.0002,-1,0,0,0,0
1201.931,1201.931,0,1,4,0,0,80,0,0,20,0,-1,76,-0.0018,-0.0019,0.0002,-1,0,0,0,0
1202.031,1202.031,-1,1,4,0,0,80,0,0,20,1,-1,76,-0.0017,-0.002,0.0004,-1,0,0,0,0
1202.131,1202.131,0,1,4,0,0,80,0,0,20,0,-1,76,-0.0021,-0.0015,-0.0001,-1,0,0,0,0
1202.231,1202.231,0,1,4,0,0,80,0,0,20,0,-1,76,-0.0018,-0.0018,-0.0001,-1,0,0,0,0
1202.331,1202.331,0,0,4,0,0,80,0,0,20,0,0,76,-0.0016,-0.002,0.0004,-1,0,0,0,0
1202.431,1202.431,0,1,4,0,0,80,0,0,20,0,-1,76,-0.0012,-0.0004,-0.0009,-1,1,0,0,0
1202.531,1202.531,0,2,6,0,0,80,0,0,20,0,-2,74,-0.0009,0.0013,-0.0014,-1,0,1,0,0
1202.631,1202.631,0,2,7,0,0,80,0,0,20,0,-2,73,-0.0002,0.001,-0.0011,-1,0,0,0,0
1202.731,1202.731,0,2,8,0,0,80,0,0,20,0,-2,72,-0.0009,0.0006,-0.002,-1,0,2,0,0
1202.831,1202.831,0,1,10,0,0,80,0,0,20,0,-1,70,-0.0022,0.0004,-0.0029,-1,0,1,0,0
1202.931,1202.931,0,1,12,0,0,80,0,0,20,0,-1,68,-0.003,-0.0009,-0.0036,-1,0,1,0,0
1203.031,1203.031,0,1,14,0,0,80,0,0,20,0,-1,66,-0.0035,-0.0003,-0.0031,-1,0,0,0,0
1203.131,1203.131,0,2,16,0,0,80,0,0,20,0,-2,64,-0.004,-0.0002,-0.0025,-1,0,1,0,0
1203.231,1203.231,0,3,18,0,0,80,0,0,20,0,-3,62,-0.0025,0.0002,-0.0021,-1,0,1,0,0
1203.331,1203.331,0,4,20,0,0,80,0,0,20,0,-4,60,-0.0032,0.001,-0.002,-1,0,2,0,0
1203.431,1203.431,0,3,22,0,0,80,0,0,20,0,-3,58,-0.0036,0.0023,-0.0014,-1,0,2,0,0
1203.531,1203.531,0,4,24,0,0,80,0,0,20,0,-4,56,-0.0033,0.0024,0.0003,-1,0,2,0,0
1203.631,1203.631,0,5,26,0,0,80,0,-1,20,0,-5,54,-0.0034,0.0016,0.001,-1,0,3,0,0
1203.731,1203.731,0,6,28,0,0,80,0,-1,20,0,-6,52,-0.005,0.0016,0.0012,-1,0,4,0,0
1203.831,1203.831,-1,7,30,0,0,80,0,-1,20,1,-7,50,-0.0068,0.002,0.0013,-1,0,4,0,0
1203.931,1203.931,0,6,32,0,0,80,0,-1,20,0,-6,48,-0.0073,0.0022,0.002,-1,0,3,0,0
1204.031,1204.031,0,6,34,0,0,80,0,-1,20,0,-6,46,-0.007,0.0025,0.0038,-1,0,2,0,0
1204.131,1204.131,0,6,36,0,0,80,0,-1,20,0,-6,44,-0.0064,0.0027,0.0038,-1,0,2,0,0
1204.231,1204.231,0,7,38,0,0,80,0,-1,19,0,-7,42,-0.0067,0.0026,0.0032,-1,0,2,0,0
1204.331,1204.331,0,8,40,0,0,80,0,-1,18,0,-8,40,-0.0072,0.0022,0.0031,-1,0,3,0,0
1204.431,1204.431,-1,9,43,0,0,80,0,-1,17,1,-9,37,-0.0071,0.0022,0.0017,-1,0,2,0,0
1204.531,1204.531,-1,9,45,0,0,80,0,-1,16,1,-9,35,-0.0069,0.002,0.0006,-1,0,1,0,0
1204.631,1204.631,-1,10,47,0,0,80,0,-1,15,1,-10,33,-0.0067,0.0015,0,-1,0,3,0,0
1204.731,1204.731,-1,10,49,0,0,80,0,-1,14,1,-10,31,-0.0059,0.0016,-0.0001,-1,0,2,0,0
1204.831,1204.831,-1,10,51,0,0,80,0,-1,13,1,-10,29,-0.0063,0.0018,-0.002,-1,0,2,0,0
1204.931,1204.931,-1,11,53,0,0,80,0,-1,12,1,-11,27,-0.0068,0.0018,-0.0037,-1,0,2,0,0
1205.041,1205.041,-2,11,55,0,0,80,0,-2,11,2,-11,25,-0.0064,0.0021,-0.0042,-1,-1,2,0,-1
1205.141,1205.141,-2,11,57,0,0,80,0,-2,10,2,-11,23,-0.0059,0.0016,-0.0046,-1,0,2,0,-1
1205.231,1205.231,-2,12,58,0,0,80,0,-2,10,2,-12,22,-0.0063,0.0015,-0.0062,-1,0,1,0,-1
1205.341,1205.341,-1,11,59,0,0,80,0,-1,9,1,-11,21,-0.006,0.0015,-0.0057,-1,0,-1,0,0
1205.441,1205.441,-2,11,61,0,0,80,0,-2,8,2,-11,19,-0.0069,0.0015,-0.0044,-1,0,1,0,-1
1205.541,1205.541,-2,12,62,0,0,80,0,-2,8,2,-12,18,-0.0073,0.0016,-0.0054,-1,-2,3,0,-1
1205.641,1205.641,-3,13,64,0,0,80,0,-2,7,3,-13,16,-0.0067,0.0015,-0.0041,-1,-2,3,0,-1
1205.741,1205.741,-3,14,65,0,0,80,0,-2,7,3,-14,15,-0.0062,0.0019,-0.0033,-1,-1,4,0,-1
1205.841,1205.841,-3,14,66,0,0,80,0,-2,6,3,-14,14,-0.0064,0.002,-0.0018,-1,0,3,0,-1
1205.941,1205.941,-2,15,68,0,0,80,0,-2,5,2,-15,12,-0.0071,0.0022,-0.0017,-1,0,2,0,-1
1206.041,1206.041,-2,14,69,0,0,80,0,-2,5,2,-14,11,-0.0076,0.0019,-0.0012,-1,0,2,0,-1
1206.141,1206.141,-3,15,69,0,0,80,0,-2,5,3,-15,11,-0.0072,0.002,-0.0005,-1,-3,2,0,-1
1206.241,1206.241,-4,15,71,0,0,80,0,-2,4,4,-15,9,-0.0069,0.0016,0.001,-1,0,1,0,-1
1206.341,1206.341,-3,15,72,0,0,80,0,-2,3,3,-15,8,-0.007,0.0013,0.0007,-1,0,1,0,-1
1206.441,1206.441,-4,15,73,0,0,80,0,-2,2,4,-15,7,-0.0083,0.0006,0.0021,-1,0,1,0,-1
1206.541,1206.541,-4,16,73,0,0,80,0,-3,2,4,-16,7,-0.0098,0.0005,0.0015,-1,-1,0,0,-2
1206.641,1206.641,-4,16,74,0,0,80,0,-3,2,4,-16,6,-0.0078,0.0011,0.0028,-1,-2,0,0,-2
